TIME ms, IN1, IN2
25, 0.55807, -0.28929
24.951, 0.583804, -0.254674
24.902, 0.622405, -0.212146
24.854, 0.641705, -0.169618
24.805, 0.641705, -0.128079
24.756, 0.635272, -0.086045
24.707, 0.661006, -0.043517
24.658, 0.635272, -0.001484
24.609, 0.615972, 0.04055
24.561, 0.583804, 0.083573
24.512, 0.551637, 0.124617
24.463, 0.461567, 0.166651
24.414, 0.442266, 0.208684
24.365, 0.365064, 0.251212
24.316, 0.294296, 0.293246
24.268, 0.223527, 0.335279
24.219, 0.159192, 0.376819
24.17, 0.107724, 0.419347
24.121, 0.024088, 0.460886
24.072, -0.053114, 0.502919
24.023, -0.136749, 0.544953
23.975, -0.175351, 0.586986
23.926, -0.239686, 0.62902
23.877, -0.304021, 0.671053
23.828, -0.355489, 0.713087
23.779, -0.37479, 0.754626
23.73, -0.439125, 0.789242
23.682, -0.439125, 0.83177
23.633, -0.439125, 0.873804
23.584, -0.477726, 0.915837
23.535, -0.445558, 0.957376
23.486, -0.445558, 0.99941
23.438, -0.39409, 1.041938
23.389, -0.400524, 1.082488
23.34, -0.316888, 1.125016
23.291, -0.278287, 1.166555
23.242, -0.220385, 1.208094
23.193, -0.181784, 1.250128
23.145, -0.143183, 1.291667
23.096, -0.040247, 1.3337
23.047, 0.011221, 1.375734
22.998, 0.049822, 1.417273
22.949, 0.152759, 1.459306
22.9, 0.19136, 1.50134
22.852, 0.294296, 1.542879
22.803, 0.33933, 1.584913
22.754, 0.4294, 1.626452
22.705, 0.455134, 1.667991
22.656, 0.500168, 1.70953
22.607, 0.519469, 1.751069
22.559, 0.570937, 1.793102
22.51, 0.57737, 1.827718
22.461, 0.57737, 1.869257
22.412, 0.532336, 1.910796
22.363, 0.545203, 1.95283
22.314, 0.513035, 1.994369
22.266, 0.455134, 2.035908
22.217, 0.416533, 2.077447
22.168, 0.352198, 2.117997
22.119, 0.281429, 2.152118
22.07, 0.326463, 2.106623
22.021, 0.345764, 2.062117
21.973, 0.365064, 2.019094
21.924, 0.384365, 1.975577
21.875, 0.422966, 1.93206
21.826, 0.468001, 1.888543
21.777, 0.506602, 1.846015
21.729, 0.532336, 1.802498
21.68, 0.545203, 1.75997
21.631, 0.532336, 1.716453
21.582, 0.57737, 1.674419
21.533, 0.55807, 1.631397
21.484, 0.590238, 1.588869
21.436, 0.590238, 1.544857
21.387, 0.583804, 1.502823
21.338, 0.57737, 1.459306
21.289, 0.583804, 1.424196
21.24, 0.570937, 1.380679
21.191, 0.57737, 1.338645
21.143, 0.55807, 1.295623
21.094, 0.538769, 1.2526
21.045, 0.519469, 1.210072
20.996, 0.435833, 1.167544
20.947, 0.410099, 1.125016
20.898, 0.410099, 1.081993
20.85, 0.352198, 1.039465
20.801, 0.332897, 0.996937
20.752, 0.274995, 0.954904
20.703, 0.223527, 0.911881
20.654, 0.152759, 0.869847
20.605, 0.139891, 0.82633
20.557, 0.049822, 0.783308
20.508, 0.011221, 0.741274
20.459, -0.04668, 0.698746
20.41, -0.091715, 0.655724
20.361, -0.117449, 0.61369
20.313, -0.168917, 0.571162
20.264, -0.213952, 0.528139
20.215, -0.252553, 0.486106
20.166, -0.284721, 0.444072
20.117, -0.336188, 0.40105
20.068, -0.39409, 0.359016
20.02, -0.387657, 0.323411
19.971, -0.432691, 0.280883
19.922, -0.458425, 0.23885
19.873, -0.484159, 0.196321
19.824, -0.439125, 0.154782
19.775, -0.451992, 0.11176
19.727, -0.426258, 0.070221
19.678, -0.400524, 0.028187
19.629, -0.387657, -0.014835
19.58, -0.304021, -0.057363
19.531, -0.316888, -0.099892
19.482, -0.284721, -0.14242
19.434, -0.188218, -0.184453
19.385, -0.15605, -0.226981
19.336, -0.053114, -0.269015
19.287, 0.024088, -0.311048
19.238, 0.107724, -0.353576
19.189, 0.152759, -0.39561
19.141, 0.255695, -0.437149
19.092, 0.294296, -0.480172
19.043, 0.384365, -0.522205
18.994, 0.435833, -0.564239
18.945, 0.538769, -0.606767
